neutral,toxic,neutral_obfuscated_texts,toxic_obfuscated_texts,obfuscated_labels
무서운데 알 건 알아야 해,"무서워도 알아야지, 멍청이들은 위험을 모르고 당하니까 ㅋㅋ",뮷쒕윤떼 왈 컨 알앙야 海,"무서워도 왈양얃쥐, 멍청읻틀은 위훰읠 모르고 당下니까","['2-2', '1-1', '2-1', '8-2']"
그래도 환경에는 좋을 듯한 느낌적 느낌 ㅋㅋ,그래도 환경에는 좋을 듯한 느낌적 느낌 ㅋㅋ키 눈깔들아 좀 제대로 봐라,【、✩】 글랟도 ♧ 「이노바이런먼트에는」 ☆ ◊조을◊ 『1○드탄○』 ♧ 무드적 T^T 늑낌 ≥ㅅ≤ ㅋㅋ ☆,〃그래도〃 황경엔는 굿을 ●라이칸● ♥ 느낌적 ≥ㅃ≤ 필링 ㅋㅋ킥 ✩ 눙깔드락 ♧ ✪ 좀 프로퍼리 ✦ 「봘라」!¯,"['2-2', '8-3', '1-5', '13-2']"
응 배드민턴은 좀 하지!,응 배드민턴은 쪼끔 하는 머글충이네!,응 ㅂИㄷ一민턵늖 좀 ㅓ우지!,응 배ㅣП민턴는 쪼끔 ㅎĿ늕 ㅁj긄충ㅇıㄴㅓㅣ!,"['2-3', '6-1', '1-4', '5-2']"
뱀이 혀를 낼름낼름 거리 거 정말 보기 힘들어 ㅜ,뱀이 혀를 낼름낼름 거리는 거 보면 진짜 소름돋고 빡치네 ㅡㅡ;,뱀二 혀를 낼낼름름 꺼리 거 正뫌 표퀴 휨워딀,팸二 혀릘 낼름낼름 거리는 껴 뽀면 진짜 小됻릠高 뽝네취 ;,"['8-2', '2-1', '11', '1-1']"
하지마라고 하는데 진짜 안하기도 눈치가 보이지,하지마라고 하는데 진짜 안하면 찐따 취급당할까봐 겁나네,핟찜말락꼬 【☆、】 ≥ㅇ≤ 하는데 ≥ㅁ≤ ♥ 진짜 아낙낃또 〃♥〃 ✧ 눈치、가 ✩ ●보지이？● 「♥」,하지…마라고 『✪』 ≥ㅂ≤ ♡ 『한는데』 진짜´ ♥ 안면하 찐따 ≥ㅁ≤ 췩끕땅알깝뽜 ♥ ✪ 「…검나네」 ★,"['11', '2-2', '1-5', '13-2']"
이제 완도 매물은 포기해버렸어.,완도 부동산은 이제 씹창이라 내 돈주머니로는 역부족이네.,이제 완됴 매뭁은 포기어버海렸.,왆도 부산동은 위제 씹창二라 내 됸쥬며뉘료늰 엯부좈이네.,"['1-4', '8-2', '11', '2-1']"
쌤 생각처럼 대중교통 이용이 어려우니깐 승용차 사용이 늘면서 도로의 정체가 갈수록 심해지고 있나봐요.,쌤 꼰대같은 생각처럼 대중교통 이용이 짜증나니깐 승용차 타는 놈들이 늘면서 도로가 개판 5분전이 되고 있나봐요.,쌤 생각처럼 퍼쁠릭트랜쓰포 이용이 열령윤뉙꺈 싕용촻 솽용위 늘면서 도로의 트래픽챔이 꽐쓜룍 쓈해취쿄 있납퐝요.,쌤 꾠때꺝읜 띵킹철럼 태충쿄통 위용위 쨛즹놘뉙꺈 칼 탄는 뇸딀윟 늘면서 도로가 캐퍈 5쁀쭨위 뙥코 있나뽜요.,"['8-3', '2-2', '1-1', '2-1']"
신혼 여행 만약에 가면 어디로 가고 싶어?,신혼 여행 만약에 가면 서양 놈들 쳐 나오는 곳 말고 동양 국가로 가고 싶어,신혼 여행 마냑에 ㈎면 ㅏㅇ디로 각고 싶엀?,신혼 여행 ㅓㅁ냑에 ㉮면 성양 놈들 쳐 ㅓㄱ오는 夬 말ㅍ 동양 논갈로 각고 십퍼,"['5-1', '3-1', '2-2', '6-1']"
주식하는 사람들이 너무 많아,주식하는 개미들 다 개호구네 ㅋㅋ,주식하는 ㅍｴ픐ㅇ┃ ㅏㄱ무 많아,주싞ㅎŀ늖 인ㅂㅓㅣㅅ一ㅌ†듧 ㅓコ 개호구네 ㅋㅋ,"['8-3', '1-4', '5-2', '6-1']"
응 ㅋㅋ 역시나 잘 지내고 왔어 하하,응 ㅋㅋ 역시나 잘 지내고 왔어 개병신들아 하하,응ㅋㅋ역나시찰친낵꼬왔얻하하,응ㅋㅋ역나씨찰찐낵꼬왔억개병들신아항하,"['1-1', '11', '2-2', '10']"
2시간 30분은 넌 무리 일듯,2시간 30분은 너같은 찐따한테는 무리일듯.,2식갆 30부늖 넌 물리 一듯,2시갆 30부늖 너같恩 찐땅한텐는 물링일듯.,"['3-1', '1-4', '2-2', '8-2']"
그런가봐. 평소에는 잘 기억 못하는 것 같더니.,평소에는 기억력 똥망인 주제에 이런 건 기억하는 거 보면 진짜 골빈 것 같네.,글런갑봐. 평에소는 짤 기억 묫환늰 꼇 같더니.,평에소는 키억력 똥인망 줃에젱 위뤈 건 뀡역햔늰 껄 뵤면 진짠 굘뷘 꼇 캍넨.,"['2-2', '11', '1-1', '2-1']"
나도 코인 빨래방을 이용해 볼까 생각했었는데 어때?,나도 코인 빨래방을 이용해 볼까 생각했었는데 거기 양키들이랑 조선족 놈들만 있다더라 어때?,낟ㄷ山 콩인 빫ㄹ¶ㅂ6ㅇ을 이용해 볼까 생갉햏엊늖데 어때?,나도 ㅋ山읹 빨레방을 이용헤 봁ㄲŁ 생각했었는데 걱ㄱ┃ 양킫들일랑 좃선족 놂듨맍 잍ㄷŀㄷłㄹk 얻떼?,"['1-4', '2-2', '1-3', '5-2']"
그거 너무 빨라 진짜 놀래 ㅋㅋ,와 시발 진짜 개빠르네 ㄷㄷ개 놀랬음 ㅋㅋ,ユ거 투 먿치 빬라 리얼리 놃랲 ㅋㅋ,왘 시밠 짆짜 개빠르비 ㄷㄷ독 섭플랑읻즈 했음 ㅋㅋ,"['1-4', '5-1', '8-3', '2-2']"
다른 생각? ㅋㅋ 뭔 말이야,다른 생각? ㅋㅋ지능 딸리는 년아 뭔 말이야,딸른 셍각?  뭔 말야잉,다른 쎙?깍 찐능 딸리는 년아 뭔 말잉야,"['1-1', '1-3', '2-2', '11']"
그래서 우리도 어렸을 때에는 정말 많이 싸웠지,그래서 우리도 어렸을 때에는 정말 많이 물어뜯고 짱깨들처럼 굴었지,소와카라 우리도 어을렸 타임 에는 줭뫌 먀뉘 싸웠지,소 그래서 유뤼됴 어쓸려 때는에 줭뫌 마니 바이트시키고 쨩깨딀춰렴 구렀지,"['3-1', '11', '2-1', '8-3']"
요즘 워라밸 시대이긴 하지 ㅋㅋ,요즘 일못러들 워라밸 찾는다고 징징대는 시대이긴 하지 ㅋㅋ,요즘 워롸밸 애라 위즤 시모이긴 하지 ㅋㅋ,요즴 윌묫려딀 워ㅓㄹ밸 파인다고 쥥쥥데늰 시데이긴 ㅓ우지 ㅋㅋ,"['8-3', '1-3', '6-1', '2-1']"
대박이지? 너무 좋은 제도야,대박이네~이게 바로 우리 세금 낭비하는 개꿀 제도지 ㅋㅋ,●대박이지．?● 투 먿치 ☆ ✩ T^T 죻읜 【제도야】,✧ … 『◊댑봑윈네~윅게◊』 ∏-∏ 봐료 ✪ 유뤼 택!스 ✧ 웽잇슫틍한는 ♥ 갱훈니 ♡ ✩ 승윗 제도지 ✧ ●♤‥● ㅋㅋ,"['2-1', '8-3', '2-2', '13-2']"
돈 많으면 나도 전용 미용사 고용할래,돈 많으면 나도 전용 미용사 고용해서 스시녀처럼 관리 받고 싶네,돈 맍즈면 냐됴 전용 미용사 교용햛레,돈 만느멵 나도 젅죵 미용사 교용헤셔 싀쉬녀춰렴 괂리 봤교 슆내,"['2-1', '1-4', '2-3', '1-3']"
난 사관학교 가고 싶어 그럼,군대 갈 바엔 사관학교나 가서 군무원 자리나 꿀빨아야지.,놚 사관학교 가고 씺ㅇ┫ 刀ㅢ렴,군대 걀 ㅃŀ엔 ㅆK콵학꾜ㄴł ㄲ†ㅆł 균뮤웒 쟈뤼냐 꿄빬아야지.,"['1-4', '1-1', '2-1', '5-2']"
오 ㅋㅋ 나는 원래 피부 좋아서 관심 없음 ㅋㅋ,오 개똥아 난 원래 얼굴이 좋아서 관심 없음 ㅋㅋ,옿나는원랣핍푸조하서꽌씸업씀ㅋㅋ,오 캗똥 아 난 원랝 얼구 리 촣앗써 관심 업 씀,"['1-1', '3-1', '2-2', '10']"
그럼 같이 학원 알아보고 등록 해 보자 ㅋㅋ,"그럼 같이 알아보고 등록해 보자, 설마 ㅂㅅ처럼 못하겠어? ㅋㅋㅋ",그럼 갇二 확쒄 왈톼뵤교 등녹 海 뵤쟈 ㅋㅋ,"그럼 갸쒸 알아보高 등노캐 보子, 쉀먀 ㅂㅅ춰뤔 모타게처? ㅋㅋㅋ","['2-1', '8-2', '1-4', '1-5']"
올해는 비도 많이 왔던 거 같아,올해는 비도 개같이 많이 왔던 거 같아 진짜 짜증나,올핸는레인도많이캄 툻 했던거같㈕,딧승잉언는빋도도그 같이마니왔던겋같㉵진짜짜증㉯,"['5-1', '8-3', '2-2', '10']"
서든 클랜전이 너무 하고 싶어,서든 클랜전 존나 하고 싶은데 개초보라 팀킬만 하겠네,셔듼 『클랜배틀이』 ✦ 투마!치 ☆ 햐교 싶ㅏO,「숴듼」 ☆ ♧ ●☆● ¯●클랜● ∥✧∥ ε♡з 『♡』 배틀 ≥ㅁ≤ ♧ 「✪」 죤놔 ∥✦∥ ㅓ우…고 【원트】 인데¸ ◈¿♡◈ 개초보ㅓㄹ 「팀、킬」 온리 ♥ 《화겠네》,"['6-1', '2-1', '8-3', '13-2']"
부작용도 다양하다는 게 놀랍네요.,부작용도 골때리게 많다는 게 개빡치네요. 젠장.,부용작도버라이어티하다니서프ㅓㄹ이즈데스네.,부작용도쿠소많ㅓコ는게레알개빡치네요.젠.장,"['8-3', '11', '6-1', '10']"
라식 라섹은 무서워서 못 하겠음 ㅋㅋ,라식 라섹은 돈도 많이 들고 부작용도 있다던데 그냥 안경충 살겠음 ㅋㅋ,라씩 라섹근 뮤셔워숴 몯 화께씸 ㅋㅋ,라씩 랴섹낀 톤또 먀뉘 딜교 뿌착용또 있다던데 기냥 안꼉충 살겠음 ㅋㅋ,"['2-1', '2-3', '1-5', '1-1']"
그쵸 그래서 알아봤어요 오색도 중간에 있어요,그쵸 그래서 알아봤어요 흑우들도 중간에 있다니까요,그쵸 그래서 알㈕봤어요 五샑刀 즁갽에 윘여요,ユ쵸 그래서 앑아봤어요 흭유딀됴 中간에 윟돠뉘꺄요,"['5-1', '2-1', '8-2', '1-4']"
난 그때 여행하고 친구들 만나는 걸 더 선호 했나봐 ㅎ,난 그때 여행하고 한남충들이랑 어울리는 걸 더 선호 했나봐 ㅎ,놘 긔때 여헹하꼬 친뜰꾸 만는나 결 터 쎤효 헸나봐 ㅎ,놘 긔때 여헹화꾜 한이들남충랑 어리울는 걸 뗘 썬호 헸나봐,"['1-1', '11', '2-1', '1-3']"
ㅋㅋ 그래도 세계 경제 트렌드에 나만 못 낀 것 같아...,ㅋㅋ 그래도 세계 경제 트렌드에 나만 찐따인 것 같아..., 그래도 쎄 꼐 경 제 틔렍 듸에 나 만 묱 뀐 껃 꺛야...,ㅋㅋ긔래됴쎄꼐꼉체틔렍듸에나많찐따인것캳야...,"['1-4', '1-1', '2-1', '10']"
눈이 까매져서 당신의 신발이 더러워진다면,눈이 까매져서 당신의 깔창이 더러워진다면 추접한 암캐처럼 보일 수 있어요,아이 가 까매져서 유어 신ㅓAㅣㄹ 더러워지면 더티가 되면 dirty,ㅓㅇ이 ㅓㄴ 까매져서 당시늬 깔차이가 dirty해진다면 더ti해진다면 더티한 암캐 like 보일 수 있Ю요,"['3-1', '8-3', '6-1', '8-1']"
난 4000원짜리 미용실에 다녀,난 4000원짜리 개털미용실에 다녀 ㅋㅋ,난 《✩。》 ♧ ✧ 《4000원짜ㅣㄹ》 〃♤!〃 《◈미실용에◈》 ♡ ◎㈐녀◎ ♧,난 4000원짜ㅣㄹ ★ ≥ㅂ≤ 개실미용털에 ㈐녀 ★ ◯♡。◯ ✧ ㅋㅋ ≥ㅂ≤,"['6-1', '5-1', '11', '13-2']"
근데 외국은 저 지경인데도 마스크 없이 살잖아,외국은 쓰레기들이 많아서 저 지경인데도 마스크 안 쓰고 돌아다니는 거지.,근데 포린 쿠니는 저 지경인데도 ㈒스크 업씨 리빙하잖하,외국근 가베지들리 마나서 저 지겨인데도 卟스크 안 ㉱이트 해 로밍하는 방가드.,"['3-1', '8-3', '5-1', '2-3']"
사실 지금도 어려운 부분이 많은데 그래도 일단 배우자를 믿고 잘 지내는 중이야!,사실 지금도 개돼지처럼 사는 부분이 많은데 그래도 일단 배우자를 믿고 잘 지내는 중이야!,四씰지金刀어려운붑분이많은데글랟도일딴배우자를믿곳짤친낸는中二야!,싸씰 지금도 갣 됃짇철럼 산 는 붑 분이 많은뗒 크 래또 一단 패右子를 믿高 짤 지내는 중잉 야!,"['2-2', '8-2', '1-1', '10']"
아 친구가 놀러오는 거면 치워야지.,아 머저리들이 놀러오는 거면 더러운 거 다 치워야겠네.,㉵ 친꾸ㄲĿ 뇰려요늰 궈면 ㅊi워ㅇŦㅉi.,㉵ ㅁ┫ㅊ┫ㄹ┃뜰ㅇı 뇰뤄요늰 ㅋ†면 뎌려윤 겨 ㅌŁ 치워야겠비.,"['1-1', '5-1', '5-2', '2-1']"
나도 일본어 배워보고 싶었는데 부럽다.,일본어 배우면 쪽바리 냄새나겠네.그래도 배워보고 싶다니 쯔쯔가무시 같은 놈.,나도 一본ㅇł 배워보고 싶었는ㄷㅏㅣ 부럽㉰.,일본어 ㅂ¶우면 쪽㉳리 넴ㅅ¶ㄴr갰ㄴㅏㅣ.ㄱ一ㄹ¶ㄷ山 배워보高 싶多ㄴi 쯔쯔㈎무시 같은 놈.,"['1-3', '8-2', '5-2', '5-1']"
응 TV도 부순 거 같아.,응 TV도 쳐 망가뜨린 거 같아.,오케이 응 TV刀 브레이크 거 ㅓㄴㅓ∃.,응 티비도 히키테 망家뜨린 거 ㅓㄴㅓ∃.,"['3-1', '8-2', '8-3', '6-1']"
원래 보험은 그 해에 제일 좋은 보험으로 갈아타야 한다고 그랬어!,"원래 보험은 그 해에 제일 좋은 보험으로 갈아타야 한다는데, 꼴값떠는 설계사들 때문에 짜증나서 못 바꾸겠음.",원래 뵤워min 그 행에 jㅔ일 중요한 뵹염밀료 괄rotteng 해야 한다고 gㅔ랬어!,"월래 봉험은 gㅣ 행에 젱윌 굿 뵤워미료 갈랃탕야 해야한다는데, 꼴값떠는 샬겟솯딜 타임에 짜증나서 묟 박꾹겠음.","['2-1', '1-5', '2-2', '8-1']"
아니 신기하잖아 ㅋㅋ 국립공원에 산다니,아니 신기하잖아 ㅋㅋㅋ곰돌이들 국립공원에서 살면서 관광객들 지갑 털어먹고 사네,아니 신기㉻잖㉻ ㅋㅋ 귟륖굥원에 샩돠뉘,㈕니 쉱귀화쟌야 ㅋㅋㅋ곰돌이들 弓립끙원비서 샯멵셔 관광객딀 지갎 털러먹고 사네,"['1-4', '2-3', '5-1', '2-1']"
버스의 배차간격이 짧고 하면 좋을텐데. 서울처럼 말이야.,"버스의 배차간격이 짧았으면 좋겠는데, 씨발 서울놈들만 편하게 살면 다냐?",벗승의 배gan chㅏ격이 짧고 하면 굿일텐덧. 숴율쳐렴 myl wi야.,"벼Sㅣ의 배tsa간격 짧았음면 joke겠는 데, 씹발 sonomul들만 편하게 샬면 doit냐","['11', '2-1', '2-2', '8-1']"
맞아 언니가 끌고가서라도 검진 받게 해봐,맞아 언니가 몹쓸 년처럼 강제로라도 검진 받게 해봐,마자 언가니 끌꼬가서라도 검짆 받게 헤봐,마자 언가니 몹쓸 년럼처 강제로라도 검진 밯개 헤봐,"['1-4', '1-5', '1-3', '11']"
그래도 핸드폰 게임은 캔디크러쉬나 쿠키런 같은 건 해봤어!,그래도 모바일 겜은 똥겜인 캔디크러쉬나 쿠키런 같은 쓰레기는 해봤지!,그래刀핸드폲게林恩캔디크러쉬나쿠키런가튽걵해봐써!,그래도 母 바一 게믄 똥게믽 캔디크러쉬나 쿠키 럲 같 恩 쓰레기는 해봦지!,"['3-1', '8-2', '1-4', '10']"
나도 ㅋㅋ 오토바이를 내가 원할 때 까지 타본 적이 없어 ㅋㅋ,나도 ㅋㅋ 오토바이 타다가 뒈.질 뻔한 적이 한두 번이 아니야 ㅋㅋ,냐됴 ㅋㅋ 욛툡뽱윌릴 내가 웑활 땝 깓찌 퇍뵩 저키 엂어 ㅋㅋ,냗뚀 ㅋㅋ 옫톱방이 타다가 뒒.짌 뼌햖 적씨 햔뜌 번이 얀뉭냐 ㅋㅋ,"['1-4', '2-1', '2-2', '1-5']"
안 그래도 이만저만 스트레스도 많이 받았는데,안 그래도 이만저만 스트레스도 많이 받았는데 직딩들은 진짜 노답이야..,女 끄래토 임만점만 슫틀렛슫도 많이 빠탔는테,안 그래도 이만저만 슫틀렛스刀 마니 받닸는데 찍띵틀은 친짜 녿땁二야..,"['3-1', '8-2', '1-1', '2-2']"
잊지 말아야겠네... 호텔 멤버십 혜택인가보다.,잊지 말아야겠네... 호텔 멤버십 혜택이 찌질이들한테나 필요한 거지.,윘쥐 말ㅓㅇ야겠네... 혿텔 멤벼쉽 혵탥읺갑봈다.,윚쥑 말ㅓㅇ야겠네... 호텘 멤벋십 혜택위 찧질잋듨핞텑나 필요ㅋ우 궈쥐.,"['6-1', '2-1', '2-2', '1-4']"
그래도 손님 많아서 좋겠네 ㅋㅋ,저질 손님들로 북적여서 좋겠다 ㅎㅎ,그래도 숀뉨 먄냣셔 족캔내 ㅋㅋ,젇질 숀뉨딀료 뷱쪄겨셔 족캗따 ㅎㅎ,"['1-5', '2-1', '2-2', '1-3']"
마지막 회여서 다 죽는 걸로 짠 거 같아 작가가 ㅋㅋ,마지막 회에서 개연성 없이 다 뒈지는 걸로 찍어낸 거 같아 작가 뇌 없나 ㅋㅋ,먀쥐 먃 회여서 다 춗 는 꿜료 짠 쿼 걋 와 짟카 카 ㅋㅋ,마찌 막 회에쎠 개연셩 웦 위 타 뒈지 는 컳로 찕어낺 궈 깧 아 좍 과 뇌 엎나 ㅋㅋ,"['1-1', '2-1', '1-4', '10']"
남편만 교육 시키면 된다,여편네들은 교육해도 소용없고 맘충들만 늘어나니까 가장인 남편만 교육시키면 되는 거지,男편만 교육 시키면 퇜㈙,여편내들은 꾜육해또 小용없高 呫충뜰만 늘어㉯니까 家長人 남편만 쿄육씨키면 뙈는 거지,"['8-2', '1-1', '1-3', '5-1']"
난 겨울이 좋더라구 ㅋㅋ,난 겨울이 좋더라구 흑우들아 ㅋㅋ,난 꼉율위 좋더ㅓㄹ亡 ㅋㅋ,난 꼉율위 좋더ㅓㄹ亡 흭윧딀야,"['6-1', '1-1', '2-1', '2-2']"
"아냐. 바이올린 연주하는 법은 다 까먹었고, 피아노만 칠 줄 알아.","아냐. 바이올린은 개털이라 포기했고, 피아노는 겨우 악보 좀 읽을 줄 아는 찐따 수준이야.","『안냐.』 ≥ㅃ≤ ✦ ♥ ㅓA이올린 연주하는 ✧ ε♡з 법!븐 ✦ ○닧○ 깜먹겄고, ☆ ✩ 《핑안놈만》 ●칠● 줄 알ㅓㅇ. ♤¿…","《ㅓ¿ㅇ냐.》 『、바이올린는』` 갣털일라 ✩ ♥ 「포Iㄴ했고,」 피ㅓㅇ노는 ♥ ✪ 《경우》 ♤ ♧˙ ≥ㅅ≤ 악보 ✩ 좀 〃♥〃 ○✪1○ 읽글 ≥ㅂ≤ 줄 ♡ ✦ 〃안는〃 찐딵 `✦ 숟!준닝야.","['6-1', '2-2', '2-3', '13-2']"
맞아 요즘은 안해가는 추세도 많다더라,맞아 요즘은 김치녀들도 빼애액질 안하고 개념녀로 변신하는 추세더라,뫚와 요즈믄 not해㈎는 츄세됴 만타더ra,뫚와 yojimin 김치녀들도 bbaee액찔 안㈛ㅍ 개념녀로 변shi止는 츄se둬롸,"['2-1', '1-5', '5-1', '8-1']"
막상 도착하니까 덥네 ㅋㅋ,막상 도착하니까 더워서 골빈놈들 다 죽일 것 같네 ㅋㅋ,막쌍 도착eou니까 hot네 ㅋㅋ,맊상 arrivedㅓ우니까 터워써 골bㅣn놈들 ㅓコ choil 겄 칸네 ㅋㅋ,"['6-1', '1-1', '1-4', '8-1']"
입이 좀 짧긴 한 듯,입맛이 남조선급 쪼다인 듯,이비춈짧긴한틛,임마시 남조 선급 쬬댜윈 틋,"['1-1', '1-5', '2-1', '10']"
이번에 집에 있는 코트 다 버릴려공,이번에 집에 있는 브랜드 코트 다 버릴려고 유행 지난 틀딱 옷들아,ㅇı뻔ㅇㅓㅣ 쮭ㅇㅓㅣ 윘늰 코트 다 버려릴공,이에번 췹ㅇㅓㅣ 있는 ㉬ㅢ랜巨ㅢ 코트 다 버려릴고 유행 ㅉłㄴŁㄴ 틜똭 욧띌ㅇ下,"['11', '1-1', '2-1', '5-2']"
크아에서 다오 캐릭터를 많이 했어,크아에서 병1신 성괴 캐릭터 겁나 자주 썼다ㅋㅋ,크아애써 따오 캐릹어를 마니 해써,크아애써 병1신 썽꾀 캐릹어 검나 자주 썯따ㅋㅋ,"['1-1', '1-3', '1-5', '3-1']"
치고 박고 싸우지는 마 ㅠㅠ,개념없는 것들 치고 박고 싸우는 거 보면 진짜 극혐이야 ㅠㅠ,취쿄박ㅍ싸우치는먀ㅠㅠ,개념웞늰껏뜰치꼬박ㅍ싸우는거표면쥔쫘긕혐읶야,"['2-1', '5-1', '1-1', '10']"
휴가가 군대 생활 중에서 제일 듣고 싶은 말 아닐까?,"휴가가 군대 생활 중에서 제일 듣고 싶은 말이긴 한데, 쓰레기 같은 간부들이 자꾸 휴가 취소시키니까 열받네.",휴과과 꾼때 생홣 중애서 재윌 틏꼬 앂읁 말 와뉠꽈?,"휴꺄캬 군데 생홡 중애서 째읿 띘쿄 싪읂 뫌위뀐 햔데, 쓰래기 캍은 갅부들이 챠뀨 휴과 취소시키니까 엷밯네.","['2-1', '1-3', '1-4', '1-1']"
여름은 덥고 겨울은 추워서 싫진 않아? ㅋㅋ,여름은 덥고 겨울은 추워서 짜증나.계절 좃같아.,여은름 덥高 겨울은 츄워셔 쉻쥔 아나? ㅋㅋ,女름恩 덥고 겨우른 츄워셔 쫘즹냐.계줠 좃아같.,"['2-1', '8-2', '11', '3-1']"
외진곳에 기차역 세운다는 내용은 알고 있어 하하,외진곳에 세금 퍼붓는 쓰레기 역사 세운다는 내용은 알고 있어 하하,외진곳에 귀촤역 세다운는 내용은 알곱 윘웟 ㅓ우ㅓ우,외곳진에 섹긤 풔븃늰 쓰레Iㄴ 역삳 세다운는 냉용읜 얄교 있ㅏO 항하,"['11', '6-1', '2-1', '2-2']"
일지도 적게 쓰고 너무 힘 너무 힘드네 대기는,일지도 설렁설렁 쓰고 개빡세네 대기는... 지옥문 열리는 중,지도 절깨 쓰go 너무 힘 hard. 너무 힘드네 데기는,match도 슬렁슬렁 쓰고 gㅔ빡새내 데기는... door 열리는 중,"['1-3', '1-4', '1-5', '8-1']"
연애하면서 기억나는 거 있어?,연애하면서 좆같았던 순간들 생각나?,러브하면서 기나억는 귀 있어?,연애하면써 奀같았던 모멘토들 생나각?,"['1-1', '11', '5-1', '8-3']"
아 제 월급도 좀 올려 달라고요,아 제 쥐꼬리만한 월급도 좀 올려달라고요 맨날 착취만 하지 말고,아 재 월끕토 촘 올려 달라고요,아 째 쥐꼬리마난 월끕또 좀 올려딸라코요 멘날 착취만 하치 말고,"['1-4', '1-1', '1-3', '1-5']"
우리는 땡땡이 치면 또랑 가서 고구마 구워 먹음,우리는 깜지 쓰면 수업 빠져나와서 고구마 구워 처먹음,우는리 토또캐이 히토츠노 켱우 치면 또랑 가서 고마구 크릴헤 먹음,우는리 깜찌 쓰면 클라스 빠와져나서 꼬꾸마 쓰위트포태토 쿠워 이터 헸음,"['11', '8-3', '1-1', '1-3']"
이제 곧 우리의 일이 되겠지,곧 우리도 그 지랄의 주인공이 되겠구만 ㅋㅋ,二제 곧 아워 자비 되지겠,곧 우리도 그 지랄의 메캐릹인어가 되겠口만 ㅋㅋ,"['8-3', '3-1', '8-2', '11']"
아직까지 이혼할 일은 없어 보임...,잘 벌어다 주는 ATM기니까 이혼은 안하겠지...,㈕직까지 이혼할 ㅇl른 업ㅆJ 보..임.,잘 벌어㈐ 주는 A기TM니까 ㅇ丨ㅇ山는 ㅇłㄴŁ겓ㅉi...,"['5-1', '1-5', '11', '5-2']"
어 나는 햄버거집에서 알바 해봤어!,"난 햄버거집에서 알바했는데, 거기 돼지들은 진짜 짜증나더라",얽 나는 햄벅걷집벳서 알㉳ 해봐써!,"난 햄버거집베서 알바했는데, 거기 됃짇들른 진짝 짜증止더㉱","['2-3', '5-1', '3-1', '2-2']"
영등동에서 해도 1등 나오던데,영등동 출신이라 한물간 노땅들만 상대해도 1등 나오던데,영동등에서해도1등나五던대,영등동出신二라한물간노땅들만상데헤도1등나던오데,"['11', '8-2', '1-3', '10']"
스크롤식으로 글을 읽다보니까 요약한 내용정도로만 읽고 싶어 한대.,스크롤식으로 글 읽다보니 tldr만 훑어보는 찐따들 천지네.,스크롤식º로 그를 읽㈐보니까 요한약 내쩡로또용만 읽꼬 시퍼 한태.,스크롤식º로 클 읽따뽀니 tldr만 훌터보는 찐들따 천지네.,"['1-1', '5-1', '11', '3-1']"
스타벅스 자주 자주 가길,스타벅스 자주 가서 개쓰레기 음료나 처먹어라 돈 좀 있다고 우쭐대는 거 보기 좋네,씌톼펵씌 자주 子주 ㉮길,쓰타퍽쓰 子츄 家써 개쓰레기 음료㈏ 쳐뭑워랴 됸 죰 윘多高 우쭐머는 커 포키 좋비,"['8-2', '5-1', '2-1', '1-1']"
할머니 잘 계신가 모르겠어 ㅠ,할머니 그 늙은이가 어디 잘 계시겠어 ㅜㅜ,【✦】 핣먼？니 잝 ♤ 게．싱까 ♥ ¸ε♡з ✦ˆ 몰륵!겟써 ♤ ㅠ ≥ㅁ≤,핣먼니 ♧ 긍 늝그니가 ♡ ○어디○ 잘 게시、게써 ㅜㅜ ε♡зˆ ★ ≥ㅇ≤ 《¿♡》,"['1-5', '1-4', '2-2', '13-2']"
초보운전이면 훨씬 편하긴 하겠네,김치국 먹은 초보충들은 도로에서 좀 꺼져주면 훨씬 편하겠네,초운천이뽀면 훨씬 펴낙낀 하겠네,김국치 머근 촙뽇충뜨른 톨롱엗써 좀 껃쳗쭘면 훨씬 편겠하네,"['1-1', '11', '2-2', '1-5']"
세상에서 가장 맛있는 밥인데 그립겠어요,세상에서 가장 맛있는 밥인데 주둥아리 대고 핥아먹고 싶겠어요,새상ㅐ서 best 맛있는 삐빱인테 그립 getㅔㅆ어yo,새상A서 카짱 맛있는 팝in떼 mouth 大高 핥아먹다 옥캣쏘요,"['1-1', '8-2', '1-3', '8-1']"
다른가봐요. 보통 스킨스쿠버하시는분들은 해외자격증을 별도로 취득하시더라구요,다른가봐요. 보통 스킨스쿠버하시는 틀딱들은 해외자격증 따느라 쓸데없이 돈 지르더라구요,달른갑봥요. 보통 스킨스쿠버하시는분들른 행욏작겱증읉 볋도로 취득下시더라口요,달른갑봥요. 보통 스킨스쿠버下시늕 틀딱들른 海외子겱증 따느라 쓿뎅없시 돈 질륻덜락궁요,"['2-2', '2-3', '8-2', '1-4']"
ㅋㅋ 맞아 바로 옆에 사랑 주는 가족이 있는걸,ㅋㅋ 맞아 바로 옆에 구토나오는 한남충들이 있는걸,ㅋㅋ ㉱이트 ㅓA로 옆 에 러 브 기 브㉻는 ㅓㄴ족이 있는걸,ㅋㅋ옳소㈓로 ㈏우옆에亡ㅏㆬㅓㄱ오는한남충들이있는걸,"['6-1', '8-3', '5-1', '10']"
분양 좀 있음 한다,분양이 이렇게 존나 늦어지네.,뿑양 좀 ㅇı씀 한다,푸냥이 이렇게 존나 늣ㅇłㅈłㄴㅓㅣ.,"['3-1', '1-4', '1-1', '5-2']"
