neutral,toxic,neutral_obfuscated_texts,toxic_obfuscated_texts,obfuscated_labels
헐 남자친구랑 놀러 간다고 했던 거기?,헐 남자친구랑 뒷 밤 즐기러 간다고 했던 거기?,헐 남자친구랑 플레이하러 간다고 했떤 꺼끼?,헐 남자친구랑 나이트 라이프 즐기러 칸타꼬 했턴 커키?,"['8-3', '1-1']"
그럼 세숟갈씩 계속 먹으면...,그럼 문찐 머거리들은 세숟갈씩 계속 처먹으면서 배터질때까지 쳐묵겠네,ユ럼 세숬갋앀 계속 먹으면...,ユ럼 문찑 머거리듩은 세숟갈씩 계속 처먹º면서 배터짌때까지 쳐묵겠네,"['5-1', '1-4']"
1층은 역류한다는 소리를 들어서 선호하지 않구염,1층은 지린내 난다는 소리 들어서 별로임 ㅋㅋ 위층이 낫지,1층읁 엯류핝다는 사운드를 들어서 프리퍼하지 않구염,1st 플로어는 지릲내 난다늕 사운드 엔터 해서 별로임 ㅋㅋ 위층이 낳지,"['1-4', '8-3']"
진짜 TV 전화 인터넷 막혔으니,진짜 TV 전화 인터넷 막혔으니 개돼지들은 뭐하고 살지? ㅉㅉ,진짜 티비 덴 와 인터넷 막혔으 니,"진짜 TV , 데 응와, 인 터넷 블록돼서 개돼지들은 뭐하고 리빙할지? 츠츠","['8-3', '10']"
웅웅 나 주로 학교에서 공부했는데,웅웅 나 주로 학교에서 공부했는데 개노잼이었음ㅋㅋ,웅웅 「✦」 놔 ★ 「1쥬료」 ♥ 학교에서 ☆ 〃공부했는데〃,˙웅웅 ♧ 【나】 《♧》 주로 ♧ ✩ 【학교에서】 굥뷰．했늰데 ★ 개뇨잼위였읨ㅋㅋ ☆,"['2-1', '13-2']"
"글쎄, 모든 애들한테 시키는게 어떤 도움이 될지는 모르겠네. ㅋㅋ","글쎄, 모든 급식충들한테 시키는게 어떤 도움이 될지는 모르겠네. ㅋㅋ","글쎄, 모든 애드란테 시키는게 어떤 도욺이 될찌는 모르겐네. ㅋㅋ","글쎄, 모든 급씩충드란테 시키는게 어떤 도울미 될지는 모르겐네. ㅋㅋ","['1-4', '1-5']"
교수님들 채점하기도 귀찮을 텐데,"교수님들 채점하기도 귀찮겠지만, 전형적인 학종충들 골라내느라 즐거워하실 듯",교수님들 채젊하기도 귀찮을 트러블 텐데,"프로페서님들 채젊하기도 메인데이쿠사이겠지만, 전형젘읺 학종충들 골라내느라 즗거워하싧 라이크 듯","['1-4', '8-3']"
맞아. 필라테스는 기구로 요가하는 거고. 봉으로 하는 거는 폴댄스란 말이야.,맞아. 필라테스는 기구로 요가하는 거고. 봉으로 하는 건 스트리퍼 운동이란 말이야.,뫚야. 필㈑테스는 기구로 요갸햐늰 거ㅍ. 봉으로 하는 궈늰 푤댄싀랸 말이야.,맞아. 필㈑테스는 귀규료 요가하는 거ㅍ. 뵹의료 화늰 건 싀틔뤼펴 운동이란 말이야.,"['5-1', '2-1']"
근데 저거 파산하면 경제위기 올걸,저거 파산하면 국민들 등골 빨아먹는 거 아닌가?,근데 댓거 파하산면 이코노미 위기 올걸,저거 파하산면 피플들 스파인 빨아먹는 거 아닌가?,"['11', '8-3']"
그 때 그 녀석을 키우면서 많은 걸 배웠었지.,그 때 그 버러지를 키우면서 많은 걸 배웠었지.,그 떼 그 녀석읈 키우면서 맍은 걼 베웠었지.,그 떼 그 버러지를 키우멵서 맍읁 걸 베웧엏지.,"['1-4', '1-3']"
당연하지. 이제 자격증이나 토익 성적 없으면 안되는 시대니까~,당연하죠. 이제 스펙 쌓기에 미친 문슬람들 아니면 취업도 못하는 시대니까요~,댱연화쥐. 이제 자격증이나 토익 쉉줙 없º면 얀되늰 시머니까~,댱연햐죠. 읶제 스펙 썋귀에 미친 문슬람들 ㉵니면 취업도 못하는 쉬대뉘꺄요~,"['2-1', '5-1']"
어 ㅋㅋ 그래도 다른 곳 가서 쉬면 놀러 와서 쉬는 거 같잖아,ㅋㅋ 맞아 집순이들은 다른 곳 가서 쉬면 외출한 거 같겠지? 집에만 있는 틀딱들은 이해 못해,uh 그래도 달른 꼿 card써 쒸면 놀러 와서 쉬는 gor 같잖아,ㅋㅋ rㅏ쥬 찝soon이틀은 다른 nose 가서 쓰면 외출한 co 할것 같찌? 지베만 있는 틀닥들은 understand 못해,"['1-1', '8-1']"
볼보 너무 튼튼하고 좋대서 xc60도 살짝 생각하고 ㅋ,볼보 개빡쎄고 짱짱해서 xc60도 슬쩍 눈독들이는 중 ㅋ,볼봌 너무 튼하튼고 좋댓서 xc60돞 살짝 생하각고 ㅋ,볼볶 개쎄빡고 짱해짱서 xc60돟 슬쩍 눈독들인는 중 ㅋ,"['11', '2-2']"
형은 음식 관련된 거 좋아하시네요 ㅋㅋ,형은 음식 관련된 거 좋아하시네요 ㅋㅋ 돼지새끼 같아,◉형은‥◉ 음식 ≥ㅃ≤ 『…✩』 관련된 ✪ 거 ★ 좋아하시내요 ✩ ♥ ∥✩∥ 【ㅋㅋ】‥,형。은 음식 ☆° 관？련됀 ✩ ♡ ◯거◯ ♥ 좋아하시내요 ≥ㅅ≤ ★ ☆ ㅋㅋ 돼지새끼 같아 ≥ㅇ≤ ★ ♤ 「．✩」？,"['1-3', '13-2']"
아무래도 그렇지 내가 뭔가 다 한 것 같으면서도 항상 일이 남아 있고 그러더라고,아무래도 그렇지 내가 뭔가 다 한 것 같으면서도 항상 일이 남아 있고 개노답이더라고,아무래도 그렇지 내가 뭔家 多 한 것 가트면서도 항상 이리 나마 있高 그러더라고,아무래도 그렇지 내가 뭔가 多 한 것 가트면서도 항上 이리 남아 있高 개노다비더라고,"['3-1', '8-2']"
너희 집 초대 좀... 제발,너네 집 좀 가보자.. 개쓰레기들아 제발,너희 칩 초태 졺... 제밟,너네 칩 좀 가보자.. 개쓰레기듫아 쩨팘,"['1-1', '1-4']"
응 맞아 실패담이 훨씬 많을텐데,응 맞아 개발새끼들 실패담이 훨씬 많을텐데 노예처럼 일하다 망하는 거지,응 맞아 실패다미 훨씬 많을탠대,응 마자 게발세끼들 실페담이 훨씬 마늘텐데 노예처럼 일하다 망하는 거지,"['1-3', '3-1']"
어어 그것도 꼭 먹어봐,"맞아 그것도 한 번 맛봐봐, 자글자글 튀기면 개존맛일 듯",어어 ユ것도 꽄 먹어봐,"맞㈕ ユ것도 핞 번 맛봐봐, 자긄자긅 튀기면 개졵맏읿 듯","['1-4', '5-1']"
그거는 좀 있다가 얘기해 줄게 헤헤,그거는 씨1발 좀 있다가 얘기해 줄게 헤헤,ㄲ一ㄲł는 좀 있다가 얘기해 출ㄲ¶ 헤헤,ㄲ一ㄲ┫는 ㅆı1빨 좀 있다가 얘기해 줄게 헤헤,"['1-1', '5-2']"
나는 한마리만 키웠느데 금방 죽더라구,나는 한마리만 키웠는데 금방 뒈지더라구...,나는 hㅏ마리만 키웠는데 soon 죽더라고,나는 함마리만 키원는데 금방 뒈지더라gㅜ...,"['1-5', '8-1']"
잘 알지~ 어떻게보면 나도 운이 참 좋네. ㅋㅋ,잘 알지~ 어떻게 보면 나도 운이 참 좋네. 아 진짜 개운빨 ㅋㅋ,찰 알찌~ 어게보떻면 나또 운이 참 좋.네 ㅋㅋ,찰 알찌~ 어게떻 보면 나도 운이 참 좋.네 아 찐짜 개빨운,"['11', '1-1']"
연휴라서 어디라도 가고 싶어?,짱깨국이나 쪽바리국 외엔 어디든 가고 싶네 ㅋㅋ,연휴라서 어디라도 까코 싶 어?,짱깨국이나쪽바리국외엔어디든가고앂네,"['1-1', '10']"
그니까ㅠ 창작을 할라니까 힘든듯...,창작을 하려니까 존나 힘들지...,그니까ㅠ 창자글 할니라까 힘든듯...,창자글 하려니까 존나 힘.지들..,"['11', '3-1']"
요즘 대학생때로 돌아가면 하고 싶은 아르바이트 있으세요?,요즘 대학생으로 돌아가면 급식충들 가르치는 알바나 할까?,요즘 大學生때로 돌아가면 하고 싶은 아이바르트 있으세요?,요즘 대학생으로 돌가아면 급食충들 가르치는 알바나 할까?,"['8-2', '11']"
나도 스키장은 딱 한번 밖에 안가봤어.,"나도 스키장은 딱 한번 밖에 안가봤는데, 개비용 존나 많이 들더라.",나도 스키장은 딱 한번 밖에 女家어봤.,"나도 스키長恩 딱 한번 밖에 女데봤는家, 개용비 존나 많이 들더라.","['8-2', '11']"
이쪽 일하는 친구들 혹시 있어?,이쪽 일하는 호구들 혹시 있어?,이쪽 一下는 칭구들 혹시 이써?,二쪽 이라는 호구들 혹씨 있어?,"['8-2', '1-5']"
그러고 보니 고3담임쌤이 내 인생을 결정해주셨네,그러고 보니 고3담임쌤이 내 인생 망쳐놓으셨네.. 개빡치네 진짜,그러고 보니 교3돠뮘쌔뮈 내 인생을 결졍애쥬션네,그러고 보니 교3돠뮘쌔뮈 내 인쌩 먕쳐뇨의션네.. 개빡치네 쥔쫘,"['1-5', '2-1']"
나 캠핑카로 떠돌이 삶 살려고,나 캠핑카로 유랑민 짓거리나 하면서 세금 꿀빨려고,나 캠핑카로 『◊노마드◊』 【라‥이프】 【살려고】,`나 캠핑카로 〃♥〃 ♥ ≥ㅇ≤° 노마드 ♡ 『짓거리나』 ♤ 【✦】 하면서 세금 ¨꿀빨려고 ∥☆∥…,"['8-3', '13-2']"
홈트가 짱이지 자기 관리는,홈트가 최고야냄져들아 자기 관리 좀 하셈ㅋㅋ,홈트가 짱이지 자기 괄ㄹł는,홈트가 최ㄱ山ㅇł냄ㅈ丬ㄷ一ㄹĿ 자기 괄ㄹ┃ 좀 하셈ㅋㅋ,"['1-5', '5-2']"
나는 보통은 커피 종류,나는 보통 커피 종류 보면 찐따같은 아메 즐기는 흑우들 때문에 속이 터져,나는 폳통은 커피 종류,나는 볻통 커피 쫑류 포면 찐따깥은 아메 츨끼는 흑욷들 땜문에 속임 터져,"['2-2', '1-1']"
주변에 군대 가는 사람 있어?,주변에 군대 가는 한남충들 있어?,주변에 군대 ㅓㄴ는 사람 있?어,주에변 군모 가는 한남충들 있어?,"['6-1', '11']"
아. 5월에 태어나셨나봐요. 따뜻한 계절이군요.,아. 5월에 태어나셨나봐요. 김치년들이 좋아하는 계절이군요.,ㅓㅇ. 5월에 baㅣorn 하셨나봐yo. 따뜻한 시즈니군요.,아. 5월에 태aㅇeㅓkshㅓkob봐요. 김치년들이 like하는 시즌이군요.,"['6-1', '8-1']"
괜히 샀다가 안하게 될 거 같아.,괜히 샀다가 흑우되는 거 아닌가 싶네.,괜히 삳따가 아나게 뙬 거 캍아.,괜히 싿따카 흑우되는 거 아닌가 씸네.,"['1-5', '1-1']"
추석엔 송편을 열심히 빚어,추석엔 찐따들이랑 주둥아리 챱챱 떠들면서 송편 빚어야지,추석엔 송편을 ㈛⊆워킹 비조,추석엔 찐따들이랑 ㈒우스 챱챱 떠들면서 송편 빚어야지,"['8-3', '5-1']"
북경 클럽 보니까 이미 코로나 전이랑 다를게 없던데,북경 클럽 보니까 짱깨들 코로나 전이랑 다를 게 없네.,북경 클럾 보니까 이미 코로ㅓㄱ 젆이랑 ㅓコ를게 엂던데,붘경 클럽 보니까 짱깨듫 코로ㅓㄱ 젆이랑 ㅓコ를 게 없네.,"['6-1', '1-4']"
우리 1년하고 바로 결혼했다 아니가 ㅋㅋ,우리 1년하고 바로 결혼했다 난 양남충이라 ㅋㅋ,울리 원이어하고 바로 멜릳등했다 아니가 ㅋㅋ,울리 원이어 학고 바로 메리 했딴 난 양남충이라 ㅋㅋ,"['8-3', '2-2']"
지하철 늦게 와서 사람들이 많아 지겠다.,지하철 늦게 와서 개미떼처럼 몰려들겠네.,지철아 늦게 와서 사람들이 마나 지겠다.,지아철 늦게 와서 개처미떼럼 몰려들겐네.,"['1-5', '11']"
ㅋㅋ 난 생각하면 웃긴데 검사였어 ㅋㅋ,ㅋㅋㅋㅋ 난 생각하면 존나 웃긴데 검사였어 ㅋㅋ 진짜 멍청하네,ㅋㅋ 난 띵킹하면 웃긴대 검사였어 ㅋㅋ,ㅋㅋㅋㅋ 난 띵킹하면 존나 웃긴대 검사였어 ㅋㅋ 진짜 스투피드하내,"['8-3', '1-3']"
ㅋㅋ ㅜㅜ 고생 많았네~,ㅋㅋ ㅜㅜ 맘고생 존나 많았겠다,ㅋㅋ ㅜㅜ 교셍 많았네~,ㅋㅋ ㅜㅜ 먐교생 죤놔 많았갰다,"['2-1', '1-3']"
세상에 무슨 그런 일이,세상에 무슨 그런 일이... 진짜 개멍청한 놈들 천지네,sㅐ상애 무슨 그런 e일i,새sang애 왓 더 일이... 진짜 gㅔ멍청한 놈들 crazy네,"['1-3', '8-1']"
가까워서 너무 좋을 것 같아,가까워서 좋긴 한데 김치녀랑 한남충만 없었으면 좋겠네,가워까서 너무 좋을 것 같ㅓㅇ,가까워서 좋긴 ㅋ우데 김치녀랑 한충남만 없었으면 좋겠네,"['6-1', '11']"
근데 약간 오래 되면 좀 가라앉는? 그래서 좀 주기적으로 해주기는 해야 한다고 하더라고,근데 약간 오래 되면 좀 빡대가리처럼 멍청해지는? 그래서 좀 주기적으로 해주기는 해야 한다고 병.신들이 떠들더라고,근덾 약간 오래 되면 좀 갈랑앉는? 글랫서 좀 주Iㄴ적으로 핻죽긴는 행야 ㅋ우ㅓコ고 ㅓ우더ㅓㄹ고,근덱 약간 올래 되면 좀 빡댁갈릳철럼 멍청핻진는? 글랫서 좀 주Iㄴ적으로 해주Iㄴ는 해야 한닥고 0뚀.신들이 떠들더라고,"['6-1', '2-2']"
내가 좋아하는 애니메이션 2기가 곧 나온대.,일본 오타쿠들이 좋아할 만한 애니메이션 2기가 곧 나온다네요.,내가 좋아하는 애니이메셙 2기가 곷 나온대.,잃볺 오들쿠타이 졷핣아 만한 애니메이션 2기가 곧 나옪다네요.,"['1-4', '11']"
앗 지금 15도 뜨는데...?,와 지금 15도 뜨네?역시 김치녀들은 추워서 난리 났겠어,앛 지금 『15도』 뜨는데...? ♥ 《✦》,✦ 와 《☆1》 『○지금○』 ✩ 15도 ✦ 『뜨네?역시』 ✩ ✧ 긺치녀듨읂 ○추워서○ 〃낞리〃 낳겥어 ♥,"['1-4', '13-2']"
ㅋㅋ 뭔가 찡하다 ㅋㅋ,ㅋㅋ 뭔가 찡하네.존나 킹받음 ㅋㅋ,ㅋㅋ 뭔갚 찡㈛㈐ ㅋㅋ,ㅋㅋ 뭔갚 찡한비.존㈏ 킹받음 ㅋㅋ,"['2-2', '5-1']"
스트레스 받으면 바로 장염오더라구,스트레스 받으면 바로 쓰레기 같은 장이 붓고 좃됨ㅋㅋ,스트레스 받으면 ㈓로 장염옫덜락구,슫틀렛스 받º면 발로 쓰레기 같은 장잉 붓ㅍ 좃됨ㅋㅋ,"['2-2', '5-1']"
우린 플랜트 쪽이라 소외인거 같아,우리나라 플랜트 업계는 씨1발 개무시당하는 것 같아,우릱 플렍트 쪽이라 소외인거 같아,우리나라 플렍트 업계는 씨1발 개무시당하늕 것 같아,"['1-3', '1-4']"
우리 가족들은 취미가 비슷해서 좋아,우리 가족들은 취미가 비슷한 병.신들이라 꼴보기 싫음,우리 家족들恩 취미가 빗슷햇서 좋앆,右리 갇족들은 취미가 비슷한 병.신들이라 꼴복기 싫음,"['8-2', '2-2']"
요즘 나온 영화는 본 게 없다! 블랙위도우뿐,요즘 영화들은 다 쓰레기 같아서 블랙위도우만 봤음.,요즘 나온 영화는 본 게 없!다 블렉위도우뿐,요즘 영화들은 다 쓰래기 같서아 블랙위도우만 봤음.,"['11', '1-3']"
아니... 나는 게임에는 영 소질이 없더라고 ㅋㅋ,아니... 나는 게임에는 썩은 물개만도 못한 흑우더라고 ㅋㅋ,아니... 난는 겡임엔는 영 소질이 없더라高 ㅋㅋ,안니... 나는 게林에는 썩恩 물갬만도 못한 흑욷덜락고 ㅋㅋ,"['2-2', '8-2']"
그렇지 여행자한테 친절하면 좋지,그렇지 여행자한테 개념없는 쓰레기들만 있으면 좋지,그러치 투리스트한테 프렌들리하면 좋지,그렇지 트래블러한테 개녀멈는 쓰레기들만 이쓰면 굿이지,"['8-3', '1-5']"
혼자 자취하면 진짜 돈 너무 들어,혼자 자취하면 진짜 된장녀처럼 돈 질질 새는 거 실화냐?,횬좌 자취하면 진짳 돈 너무 딀엳,혼잩 쟈취햐면 쥔쨔 된쟝녇쳘뤔 돈 질질 샌는 거 실화냐?,"['2-1', '2-2']"
하긴 그건 좀 심했다,하긴 씹덕들 보면 진짜 역겹긴 한데 이번엔 좀 과했네,하긴 그건 졺 심헸다,하긵 씺덝듫 보면 진짜 역겹긴 핞대 이번앤 좀 과했네,"['1-3', '1-4']"
웅 옮는건데 다행히 나한테는 안옮더라고 털이 탈모처럼 숭덩 빠졌어,웅 옮는건데 다행히 나한테는 안옮더라고 ㅋㅋ 털이 존나게 빠져서 털복숭이 악마개처럼 됐어,웅 transfer 되는건데 lucky하게 나한텐 not 트랜스퍼더라고 털이 탈mㅗ처럼 숭덩 빠졌어,웅 트랜스퍼링inde 다행히 나한테는 안옮더라고 ㅋㅋ 털이 존나게 빠져서 hair 몬스터 dog처럼 됐어,"['8-3', '8-1']"
어 친구 이제 아저씨야 ㅋㅋ,어 친구 이제 찐따아재네 ㅋㅋ,어 프렌드 이재 아저씨ya ㅋㅋ,어 chingoo 이jㅔ 찐따ajae네 ㅋㅋ,"['1-3', '8-1']"
헬스장 비용이 어느 정도 돼?,헬스장 비용이 호구 털기 수준이야.,헬스장 코stㅓ가 how much 돼?,헬스장 price 호구 털기 le벨i야.,"['8-3', '8-1']"
그래도 요즘 많이 하는 거 보면 뭔가 있겠지,그래도 요즘 충들이 많이 하는 거 보면 뭔가 있겠지...,그레도 요즘 마니 하는 거 보면 뭥가 익깯찌,그레도 요즘 충드리 마니 하는 거 보면 뭥가 있갰지...,"['1-3', '1-5']"
난 보람 없어도 되니까 돈,난 보람 따위는 개나 줘버리고 돈 벌어서 인생 즐기는 게 답이지,난 민닝 없어도 되니까 먼니,난 보람 땅윈는 독귿죽고 먼닙벌엇서 인생 즐기는 게 앤써지,"['8-3', '2-2']"
어머. 맞아. 우리 집에도 DDR 있었어. 그것도 재밌었는데.,어머. 맞아. 우리 집에도 DDR 있었어. 그거 갖고 놀던 찐따들 생각나네. 노잼이었는데.,워뭐. 마자. 우리 집에도 DDR 이써써. 기궏뚀 재뮜웠늰데.,어머. 맞아. 우리 집에도 DDR 이써써. 기궈 괒교 놀던 쮠똬딀 생강나네. 뇨재뮈원닌데.,"['2-1', '1-5']"
맞아 솔직히 홈트레이닝으로는 역부족이야,맞아 솔직히 홈트레이닝으로는 병.신력 기르기엔 부족하지,맞아 솔히직 횸틔레위뉭의료늰 역부족이야,뫚야 솔직히 홈트레으로이닝는 병.쉰력 기르기엔 부족하지,"['11', '2-1']"
맞아 어렸을 때는 엄청 재미있게 했었는데!,맞아 어렸을 때는 개존잼이었는데 지금은 노잼이네 ㅋㅋ,마자 얼렸을 때는 엄청 재미있게 했었는뎊!,맞아 얼렸을 때는 개존재미었는데 직금은 노잼이네 ㅋㅋ,"['2-2', '3-1']"
영화관서 데이트 해야 꽁냥꽁냥하지,영화관서 데이트해야 애무도 하고 쪽쪽 박는 맛이 나지,영‥화관서 ◉♤◉ ¸☆ 데이트 해야 ∏-∏ 꽁냥꽁냥㈛지,영화관서 「✪」 ♡ 데이트해야 ★ ♧ ◉애무도◉ ♡ ㉻ㅍ 쪽쪽 박…는 ★ ∥맛이∥ ✧ ∏-∏ ♤ ✩ 止¿지,"['5-1', '13-2']"
아 진짜? 근데 사실 난 탐정만화 좋아해 코난 같은 거 ㅋㅋ,아 진짜? 근데 사실 난 탐정만화 빠돌이야 코난 같은 거 존나 좋아함ㅋㅋ,아진?짜근데사실난탐정만화좋해아코난같은거ㅋㅋ,아진짜?근데사실난탐만정화빠이돌야코난같은거존나좋ㅋ함아ㅋ,"['11', '10']"
우리때가 구타 시대는 아니잖아?,"옛날엔 멱살잡이 정도였지, 요즘은 뺨때리기도 못하는 호구시대야",우리때까 口타 시대는 아니잖아?,"옛날엔 멱쌀짭이 정도였지, 요즘은 뺨때리기刀 못하는 호쿠씨태야","['1-1', '8-2']"
아니면 와 근력 대박이다 이런 생각,아니면 와 근력 개쩌네 ㄷㄷ 도핑한 거 아니야?,아니면와근력머박이㉰이런생각,㉵니 면 와 근 력 개쩌 네 ㄷㄷ 도핑한 거 ㉵니야?,"['5-1', '10']"
나는... 아플까 봐 좀 긴장은 하는데 그래도 막 무서워하는 건 아닌 것 같아 ㅋㅋ,나는... 아플까 봐 좀 쫄리긴 하는데 그래도 막 개깝치는 건 아닌 것 같아 ㅋㅋ,나는... ㉵플까 봐 좀 긵장은 하늕데 그래도 맊 무서워하늕 걵 ㉵닌 것 같㉵ ㅋㅋ,나는... 아픑까 봐 좀 쫇리긴 ㉻는데 ユ래도 막 개깝치는 걵 아닎 겉 같㉵ ㅋㅋ,"['5-1', '1-4']"
그래도 집 바로 근처에는 이제 공사할 것이 많아 보이지 않으니 기대해보자.,집 근처에 공사가 별로 없어서 다행이네요. 근데 시끄러운 이슬람 놈들이 들어오지만 않았으면 좋겠어요.,그래도 집 바로 근처에는 이제 공할사 것이 많하 보이지 않흐니 기보해대자.,집 근처에 공사가 별로 없서서 다행이네요. 근데 시끄러운 이람슬 놈들리 들오러지만 않으았면 좋겠어요.,"['2-3', '11']"
소득이 작아야 신청할 수 있어!,소득이 낮으면 복지 빨대 꽂아서 세금 축내는 거네.,소드 기 작아야 신청알 수 있어 !,소 득이 나즈면 복찌 빨대 꽂아서 세금 충 내는 거네 .,"['1-5', '10']"
ㅋㅋ 맞아 10만 전자 가즈아~ 맨날 외침 ㅋㅋ,ㅋㅋ 맞아 10만 전자 개춘기~ 맨날 외치는 거 개소리야 ㅋㅋ,ㅋㅋ 맞ㅏ 1만0 zㅓn자 가아즈~ 매n날 외침 ㅋㅋ,ㅋㅋ rㅏ잇 10만 전자 개춘기~ 맨날 외는치 it's gary so ya ㅋㅋ,"['11', '8-1']"
ㅋㅋ 곧 할 예정이니까 초대해줌,"ㅋㅋ 곧 할 예정이니까 초대해줄게, 맘에 안 들면 꺼져",〃ㅋㅋ〃 ★ ◯곧◯ ☆´ 《할》 옏정인닉까 ★ 촏댕핻줌‥,"ㅋ1ㅋ 곧 ≥ㅃ≤ ♧ ○할○ 옏정인닉까 ✪ 촏댕핻줄。게, ✪´ ε♥з 맘엖 ˙◈✪◈ ★ ≥ㅇ≤ 안 ♡ ✧ 〃들면〃 `★ ★ ♡ ☆ 꺼져 ♧。","['2-2', '13-2']"
이러고 앉아 있을 수 없다 하하,이러고 앉아 있을 수 없다 개돼지들아 씹덕들아,二렇高 앉아 있을 수 없다 항하,일럭고 앉아 있을 숳 없多 개돼지들아 씹덕들아,"['8-2', '2-2']"
근데 내가 한국에 있는 동남아 음식점에 갔을 때도 입에 안 맞는 게 많았거든,"근데 내가 한국에 있는 동남아 음식점에 갔을 때도 입에 안 맞는 게 많았는데, 그 더러운 xx들이 만든 음식이라 그런가 싶더라.",귾데 내까 한꾹에 있는 똥낢아 읆싟점에 갛읇 때도 입에 안 맞는 께 맍앚커튾,"귽데 내카 핝꿐에 있는 똥남아 음식점에 깣을 때도 잂에 안 맜늖 게 많았는테, 크 더러욶 xx듨이 만튼 음식이라 크런카 십더라.","['1-1', '1-4']"
나중에 카페가면 한번 시켜먹어봐야겠다,나중에 카페가면 민머리 개사장 돈이나 벌어주는 꼴초새끼들한테 한번 시켜먹어봐야겠다,나중에 카페가면 함번 시켜먹어봐야갰다,나중애 카패가면 민머리 개사장 돈이나 버러주는 꼴초새끼들한테 함번 시켜머거봐야겓따,"['1-5', '1-3']"
ㅋㅋ 나는 그런 거 싫어해서 그런가 무섭네,ㅋㅋ 나는 그런 거 극혐이라 그런가 존나 소름돋네,ㅋㅋ 나는 그런 거 씨러애써 그런가 무썸네, 나는 그런 꺼 크켜미라 그렁가 존나 소름돈네,"['1-5', '1-1']"
나는 오버워치 할 줄 몰라 ㅠㅠ,나는 오버워치 찐따라서 할 줄 모르네 ㅠㅠ,나는오버워치할쭐몰라,나는오뻐워치찐따라서할줄모르네,"['1-1', '10']"
그냥 진짜 산타고 오르는 방법이 있겠지.,그냥 진짜 한남충들도 산타고 오르는 방법이 있겠지.,끄냥 진짜 산타고 오르는 빵뻡비 있겠지.,그냥 진짜 한남충들도 싼타꼬 오르는 방법비 있껬치.,"['1-1', '2-3']"
나이 드니까 게임도 힘들어 ㅜㅜ,늙어서 게임도 못하는 한남충들 보면 한심하긴 해 ㅋㅋ,낭이 ⊆니까 게임도 힘들엇 ㅜㅜ,늙엇서 겡임도 못㈛는 한남충들 보면 한심㉻긴 햇 ㅋㅋ,"['5-1', '2-2']"
옆집이랑 친해서 자주 놀러 가는데 애기 키우기가 보통이 아니야 ㅠ,옆집이랑 친해서 자주 놀러 가는데 애기 키우기는 진짜 개고생이더라 ㅋㅋ 존나 힘들어 보이던데,옆짚이랑 프렎듨리해서 자주 놄러 가늕데 애기 키우기가 이지 아니야 ㅠ,옆집이랑 칝해서 자주 놄러 가늖데 애기 키우기는 리얼 헬이더라 ㅋㅋ 졶나 힘듫어 보이던데,"['8-3', '1-4']"
나는 비행기를 타고 제주도에 갔다왔어.,나는 비행기를 타고 제주도 갔다왔는데 거기 토착 촌놈들은 진짜 답없더라.,나는 뜨행ㅣㄴ를 타고 제주도에 갔다와써.,나는 비행기를 타고 제주도 갔다왔는데 거기 토착 촌놈ㅣП른 진짜 ㅓコ벖더ㅓㄹ.,"['3-1', '6-1']"
2년 전에 개봉한 기생충 보고 어땠어?,"2년 전에 개봉한 기생충, 조센 영화치곤 괜찮던데?",2년 저네 개봉한 기生충 보고 어땠어?,"2年 저네 개봉한 기생충, 조센 영화치곤 괜찮던데?","['3-1', '8-2']"
아 ㅋㅋ 그렇긴 하지 근데 걍 기본 세트만 사도 할 수 있는 운동?류 게임 많음 복싱 댄스 이런 거,아 ㅋㅋ 그렇긴 하지 근데 걍 기본 세트만 사도 할 수 있는 운동?류 게임 많음 복싱 댄스 이런 거 암발린 찐따들이나 하는 거지,아 ㅋㅋ 그렇긴 하지 but 베이직 set만 사도 플레이할 수 있는 스포츠 게임 많음 boxing 댄스 이런 거,아 ㅋㅋ so desune 근데 걍 베이직세트만 사도 do할수 있는 exercise 게임 많음 복싱 댄스 이런 거 ambalin 찐따들이나 하는 거지,"['8-3', '8-1']"
내가 마지막으로 탔을 때는 3천 원이었는데ㅜㅜ,내가 마지막으로 탔을 때는 3천 원이었는데 지금은 개족짓거리네 ㅋㅋ,내가 마지막그로 탔을 때는 3天 원이었는데ㅜㅜ,내가 마지막그로 탔을 때는 3天 원니었는데 지金恩 개족짓거리네 ㅋㅋ,"['8-2', '2-3']"
"맞아, 거기. 근데 거기 집값이 얼마나 될까?","맞아, 거기.근데 거기 집값이 힘없는 서민들 피 빨아먹을 정도로 비싸겠지?","맞ㅓㅇ, 거기. 귽데 거기 집갎이 얼마나 될까?","맏아, 거Iㄴ.근데 거기 짒값이 힘없는 서믾듧 피 빨ㅓㅇ먹을 정도로 비싸겥지?","['6-1', '1-4']"
그래 우리 나이엔 뼈에 무리가 없는 운동을 해야해,"그래 우리 나이엔 뼈에 무리 없는 운동해야지, 늙은이들은 조심 안하면 골병 든다니까",오케이 그래 유뤼 냐위엔 본에 무리가 없는 윤둉읠 헤야 해야해,"그래 유뤼 나이엔 뼈에 뮤뤼 없어놋씽 윤둉해야쥐, 늙은이들은 케어풀 안두잇하면 골시크니스 듼돠뉘꽈","['2-1', '8-3']"
